許可證字號,藥廠,顯示名稱,分類標籤,濃縮倍數,濃縮生藥組成,原粉生藥組成,賦形劑組成,解析狀態,人工校正提示,原始處方(供對照用)
衛署藥製字第012667號,東陽,八仙湯濃縮散(東陽),濃縮散劑,5.8,人參:1.08|茯苓:1.8|白朮:7.2|甘草:0.72|川芎:1.26|當歸:1.26|白芍:1.44|生地黃:1.26|羌活:0.9|半夏:1.26|陳皮:1.44|秦艽:1.08|牛膝:1.08|桂枝:0.54|柴胡:0.72|防風:0.9,,澱粉:1.9,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 人參 (1.08 g)
 
 茯苓 (1.80 g)
 
 白朮 (7.20 g)
 
 甘草 (0.72 g)
 
 川芎 (1.26 g)
 
 當歸 (1.26 g)
 
 白芍 (1.44 g)
 
 生地黃 (1.26 g)
 
 羌活 (0.90 g)
 
 半夏 (1.26 g)
 
 陳皮 (1.44 g)
 
 秦艽 (1.08 g)
 
 牛膝 (1.08 g)
 
 桂枝 (0.54 g)
 
 柴胡 (0.72 g)
 
 防風 (0.90 g)
 
 以上生藥製成浸膏4.1g(生藥與浸膏比例23.94：4.1＝5.8：1) ( )
 
 澱粉 (1.9 g)"
衛署藥製字第012668號,東陽,桂枝加龍骨牡蠣湯濃縮散(東陽),濃縮散劑,5.9,桂枝:3.6|白芍:3.6|生薑:3.6|龍骨:3.6|牡蠣:3.6|甘草:2.4|大棗:3.6,,澱粉:1.9,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 桂枝 (3.6 g)
 
 白芍 (3.6 g)
 
 生薑 (3.6 g)
 
 龍骨 (3.6 g)
 
 牡蠣 (3.6 g)
 
 甘草 (2.4 g)
 
 大棗 (3.6 g)
 
 以上生藥製成浸膏4.1g(生藥與浸膏比例24：4.1＝5.9：1) ( )
 
 澱粉 (1.9 g)"
衛署藥製字第012669號,東陽,普濟消毒飲濃縮散(東陽),濃縮散劑,5.9,黃芩:4|黃連:4|人參:2.4|橘紅:2.4|玄參:1.6|柴胡:1.6|桔梗:1.6|甘草:1.6|連翹:0.8|牛蒡子:0.8|板藍根:0.8|馬勃:0.8|白殭蠶:0.5|升麻:0.5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 黃芩 (4.0 g)
 
 黃連 (4.0 g)
 
 人參 (2.4 g)
 
 橘紅 (2.4 g)
 
 玄參 (1.6 g)
 
 柴胡 (1.6 g)
 
 桔梗 (1.6 g)
 
 甘草 (1.6 g)
 
 連翹 (0.8 g)
 
 牛蒡子 (0.8 g)
 
 板藍根 (0.8 g)
 
 馬勃 (0.8 g)
 
 白殭蠶 (0.5 g)
 
 升麻 (0.5 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23.4：4＝5.9：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012670號,東陽,秦艽鱉甲散濃縮散(東陽),濃縮散劑,7.4,鱉甲:5|秦艽:2.5|知母:2.5|當歸:2.5|柴胡:5|地骨皮:5|烏梅:2|青蒿:1.5,,澱粉:7,✅ 解析成功,無需校正。,"處方:每 10.5 公克中含有：
 
 鱉甲 (5.0 g)
 
 秦艽 (2.5 g)
 
 知母 (2.5 g)
 
 當歸 (2.5 g)
 
 柴胡 (5.0 g)
 
 地骨皮 (5.0 g)
 
 烏梅 (2.0 g)
 
 青蒿 (1.5 g)
 
 以上生藥製成浸膏 3.5g(生藥與浸膏比例 26:3.5=7.4:1) ( )
 
 澱粉 (7.0 g)"
衛署藥製字第012671號,東陽,白虎加人參湯濃縮散(東陽),濃縮散劑,5.9,石膏:9|知母:5.4|炙甘草:1.8|粳米:5.4|人參:2.7,,澱粉:1.9,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 石膏 (9.0 g)
 
 知母 (5.4 g)
 
 炙甘草 (1.8 g)
 
 粳米 (5.4 g)
 
 人參 (2.7 g)
 
 以上生藥製成浸膏4.1g(生藥與浸膏比例24.3：4.1＝5.9：1) ( )
 
 澱粉 (1.9 g)"
衛署藥製字第012672號,東陽,木香檳榔丸濃縮散(東陽),濃縮散劑,6,木香:1.2|檳榔:1.2|陳皮:1.2|青皮:1.2|枳殼:1.2|黃柏:1.2|黃連:1.2|三稜:1.2|莪朮:1.2|大黃:2.4|香附:4.8|黑丑:4.8,芒硝:0.19,澱粉:2,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每6公克中含有：
 
 木香 (1.2 g)
 
 檳榔 (1.2 g)
 
 陳皮 (1.2 g)
 
 青皮 (1.2 g)
 
 枳殼 (1.2 g)
 
 黃柏 (1.2 g)
 
 黃連 (1.2 g)
 
 三稜 (1.2 g)
 
 莪朮 (1.2 g)
 
 大黃 (2.4 g)
 
 香附 (4.8 g)
 
 黑丑 (4.8 g)
 
 以上生藥製成浸膏3.81g(生藥與浸膏比例22.8：3.81＝6：1) ( )
 
 芒硝 (0.19 g)
 
 澱粉 (2.0 g)"
衛署藥製字第012716號,東陽,柴胡清肝湯濃縮散(東陽),濃縮散劑,6,柴胡:2.2|生地黃:2.2|赤芍:2.2|牛蒡子:2.2|當歸:3|連翹:3|川芎:1.5|黃芩:1.5|梔子:1.5|栝樓根:1.5|甘草:1.5|防風:1.5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 柴胡 (2.2 g)
 
 生地黃 (2.2 g)
 
 赤芍 (2.2 g)
 
 牛蒡子 (2.2 g)
 
 當歸 (3.0 g)
 
 連翹 (3.0 g)
 
 川芎 (1.5 g)
 
 黃芩 (1.5 g)
 
 梔子 (1.5 g)
 
 栝樓根 (1.5 g)
 
 甘草 (1.5 g)
 
 防風 (1.5 g)
 
 以上生藥製成浸膏4.0g(生藥與浸膏比例23.8：4＝6：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012717號,港香蘭,川芎茶調散濃縮散(港香蘭),濃縮散劑,5.4,白芷:2|甘草:2|羌活:2|荊芥:4|川芎:4|細辛:1|防風:1.5|薄荷:8,,澱粉:4.5,✅ 解析成功,無需校正。,"處方:每9公克中含有： 
 
 白芷 (2.0 g)
 
 甘草 (2.0 g)
 
 羌活 (2.0 g)
 
 荊芥 (4.0 g)
 
 川芎 (4.0 g)
 
 細辛 (1.0 g)
 
 防風 (1.5 g)
 
 薄荷 (8.0 g)
 
 以上生藥製成浸膏4.5g(生藥與浸膏比例24.5:4.5=5.4:1) ( )
 
 澱粉 (4.5 g)"
衛署藥製字第012718號,港香蘭,不換金正氣散濃縮散(港香蘭),濃縮散劑,6,蒼朮:4|厚朴:4|陳皮:4|藿香:4|半夏:4|甘草:2|生薑:1|大棗:1,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 蒼朮 (4.0 g)
 
 厚朴 (4.0 g)
 
 陳皮 (4.0 g)
 
 藿香 (4.0 g)
 
 半夏 (4.0 g)
 
 甘草 (2.0 g)
 
 生薑 (1.0 g)
 
 大棗 (1.0 g)
 
 以上生藥製成浸膏4.0g(生藥與浸膏比例24：4＝6：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012719號,順天堂,槐花濃縮散(順天堂),濃縮散劑,3.03,槐花:1.94,,澱粉:0.36,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 槐花 (1.94 g)
 
 以上生藥製成浸膏0.64g(生藥與浸膏比例1.94:0.64=3.03:1) ( )
 
 澱粉 (0.36 g)"
衛署藥製字第012720號,順天堂,枸杞子濃縮散(順天堂),濃縮散劑,2.33,枸杞子:1,,纖維粉:0.57,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 枸杞子 (1 g)
 
 以上生藥製成浸膏0.43g(生藥與浸膏比例1：0.43＝2.33：1) ( )
 
 纖維粉 (0.57 g)"
衛署藥製字第012721號,港香蘭,吳茱萸湯濃縮散(港香蘭),濃縮散劑,6,吳茱萸:7.5|人參:4.5|生薑:9|大棗:6,,澱粉:4.5,✅ 解析成功,無需校正。,"處方:每9公克中含有：
 
 吳茱萸 (7.5 g)
 
 人參 (4.5 g)
 
 生薑 (9.0 g)
 
 大棗 (6.0 g)
 
 以上生藥製成浸膏4.5g(生藥與浸膏比例27:4.5=6:1) ( )
 
 澱粉 (4.5 g)"
衛署藥製字第012722號,港香蘭,玉屏風散濃縮散(港香蘭),濃縮散劑,6.3,黃耆:15|白朮:5|防風:5,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 黃耆 (15 g)
 
 白朮 (5 g)
 
 防風 (5 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例25:4=6.3:1) ( )
 
 澱粉 (2 g)"
衛署藥製字第012748號,順天堂,女神散濃縮顆粒(順天堂),濃縮顆粒劑,8.17,當歸:3|川芎:3|白朮:3|香附子:3|桂枝:2|黃芩:2|人參:2|檳榔子:2|黃連:1|木香:1|丁子:1|甘草:1|大黃:0.5,,澱粉:3,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 當歸 (3.0 g)
 
 川芎 (3.0 g)
 
 白朮 (3.0 g)
 
 香附子 (3.0 g)
 
 桂枝 (2.0 g)
 
 黃芩 (2.0 g)
 
 人參 (2.0 g)
 
 檳榔子 (2.0 g)
 
 黃連 (1.0 g)
 
 木香 (1.0 g)
 
 丁子 (1.0 g)
 
 甘草 (1.0 g)
 
 大黃 (0.5 g)
 
 以上生藥製成浸膏3.0g(生藥與浸膏比例24.5:3.0=8.17:1) ( )
 
 澱粉 (3.0 g)"
衛署藥製字第012791號,明通,乙字湯濃縮顆粒(明通),濃縮顆粒劑,5.6,大黃:1|柴胡:5|升麻:2|甘草:2|黃芩:3|當歸:5,,澱粉:1.3,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 大黃 (1.0 g)
 
 柴胡 (5.0 g)
 
 升麻 (2.0 g)
 
 甘草 (2.0 g)
 
 黃芩 (3.0 g)
 
 當歸 (5.0 g)
 
 以上生藥製成浸膏3.2g(生藥與浸膏比例18.0:3.2=5.6:1) ( )
 
 澱粉 (1.3 g)"
衛署藥製字第012793號,明通,二陳湯濃縮顆粒(明通),濃縮顆粒劑,5.5,製半夏:7|茯苓:3.5|陳皮:3.5|甘草:2|生薑:2,,澱粉:6.6,✅ 解析成功,無需校正。,"處方:每9.9公克中含有：
 
 製半夏 (7.0 g)
 
 茯苓 (3.5 g)
 
 陳皮 (3.5 g)
 
 甘草 (2.0 g)
 
 生薑 (2.0 g)
 
 上記生藥製成浸膏3.3g(生藥與浸膏比例18：3.3＝5.5：1) ( )
 
 澱粉 (6.6 g)"
衛署藥製字第012794號,明通,人參敗毒散濃縮顆粒(明通),濃縮顆粒劑,5.3,人參:3|茯苓:3|甘草:1.5|前胡:3|川芎:3|羌活:3|獨活:3|桔梗:3|柴胡:3|枳殼:3|生薑:3|薄荷:0.5,,澱粉:8.9,✅ 解析成功,無需校正。,"處方:每15公克中含有：
 
 人參 (3.0 g)
 
 茯苓 (3.0 g)
 
 甘草 (1.5 g)
 
 前胡 (3.0 g)
 
 川芎 (3.0 g)
 
 羌活 (3.0 g)
 
 獨活 (3.0 g)
 
 桔梗 (3.0 g)
 
 柴胡 (3.0 g)
 
 枳殼 (3.0 g)
 
 生薑 (3.0 g)
 
 薄荷 (0.5 g)
 
 以上生藥製成浸膏6.1g(生藥與浸膏比例32:6.1=5.3:1) ( )
 
 澱粉 (8.9 g)"
衛署藥製字第012920號,順天堂,桃仁濃縮散(順天堂),濃縮散劑,5.3,桃仁:3.39,,澱粉:0.36,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 桃仁 (3.39 g)
 
 以上生藥製成浸膏0.64g(生藥與浸膏比例3.39:0.64=5.3:1) ( )
 
 澱粉 (0.36 g)"
衛署藥製字第012922號,順天堂,枳實濃縮散(順天堂),濃縮散劑,5.3,枳實:3.5,,澱粉:0.34,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 枳實 (3.5 g)
 
 以上生藥製成浸膏0.66g(生藥與浸膏比例3.5:0.66=5.3:1) ( )
 
 澱粉 (0.34 g)"
衛署藥製字第012924號,東陽,過期飲濃縮散(東陽),濃縮散劑,5.8,熟地黃:4|白芍:4|當歸:4|香附:4|川芎:2|紅花:1.4|桃仁:1.2|莪朮:1|木通:1|甘草:0.8|肉桂:0.8,,澱粉:1.8,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 熟地黃 (4.0 g)
 
 白芍 (4.0 g)
 
 當歸 (4.0 g)
 
 香附 (4.0 g)
 
 川芎 (2.0 g)
 
 紅花 (1.4 g)
 
 桃仁 (1.2 g)
 
 莪朮 (1.0 g)
 
 木通 (1.0 g)
 
 甘草 (0.8 g)
 
 肉桂 (0.8 g)
 
 以上生藥製成浸膏4.2g(生藥與浸膏比例24.2：4.2＝5.8：1) ( )
 
 澱粉 (1.8 g)"
衛署藥製字第012925號,東陽,香砂養胃湯濃縮散(東陽),濃縮散劑,5.9,香附:1.7|砂仁:1.7|木香:1.7|枳實:1.7|白豆蔻:1.7|厚朴:1.7|廣藿香:1.7|白朮:2.4|陳皮:2.4|茯苓:2.4|半夏:2.4|甘草:0.7|生薑:0.7|大棗:1.2,,澱粉:1.9,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 香附 (1.7 g)
 
 砂仁 (1.7 g)
 
 木香 (1.7 g)
 
 枳實 (1.7 g)
 
 白豆蔻 (1.7 g)
 
 厚朴 (1.7 g)
 
 廣藿香 (1.7 g)
 
 白朮 (2.4 g)
 
 陳皮 (2.4 g)
 
 茯苓 (2.4 g)
 
 半夏 (2.4 g)
 
 甘草 (0.7 g)
 
 生薑 (0.7 g)
 
 大棗 (1.2 g)
 
 以上生藥製成浸膏4.1g(生藥與浸膏比例24.1：4.1＝5.9：1) ( )
 
 澱粉 (1.9 g)"
衛署藥製字第012926號,東陽,女科柏子仁丸濃縮散(東陽),濃縮散劑,5.9,柏子仁:1.8|牛膝:1.8|卷柏:1.8|澤蘭:7.2|續斷:7.2|熟地黃:3.6,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 柏子仁 (1.8 g)
 
 牛膝 (1.8 g)
 
 卷柏 (1.8 g)
 
 澤蘭 (7.2 g)
 
 續斷 (7.2 g)
 
 熟地黃 (3.6 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23.4：4＝5.9：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012927號,東陽,小半夏加茯苓湯濃縮散(東陽),濃縮散劑,5.9,半夏:10.2|茯苓:3|生薑:5.1,,澱粉:1.4,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 半夏 (10.2 g)
 
 茯苓 (3.0 g)
 
 生薑 (5.1 g)
 
 以上生藥製成浸膏3.1g(生藥與浸膏比例18.3：3.1＝5.9：1) ( )
 
 澱粉 (1.4 g)"
衛署藥製字第012928號,漢聖,補中益氣湯濃縮散(漢聖),濃縮散劑,5.2,黃耆:6|人參:4|白朮:2|炙甘草:4|當歸:2|陳皮:2|升麻:1|柴胡:1|生薑:3|大棗:2,,澱粉:6.8,✅ 解析成功,無需校正。,"處方:每12公克中含有：
 
 黃耆 (6.0 g)
 
 人參 (4.0 g)
 
 白朮 (2.0 g)
 
 炙甘草 (4.0 g)
 
 當歸 (2.0 g)
 
 陳皮 (2.0 g)
 
 升麻 (1.0 g)
 
 柴胡 (1.0 g)
 
 生薑 (3.0 g)
 
 大棗 (2.0 g)
 
 以上生藥製成浸膏5.2g(生藥與浸膏比例27:5.2=5.2:1) ( )
 
 澱粉 (6.8 g)"
衛署藥製字第012929號,東陽,射干麻黃湯濃縮散(東陽),濃縮散劑,5.9,射干:2.1|細辛:2.1|紫菀:2.1|款冬花:2.1|麻黃:2.9|生薑:2.9|五味子:3.6|半夏:3.6|大棗:2.9,,澱粉:1.9,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 射干 (2.1 g)
 
 細辛 (2.1 g)
 
 紫菀 (2.1 g)
 
 款冬花 (2.1 g)
 
 麻黃 (2.9 g)
 
 生薑 (2.9 g)
 
 五味子 (3.6 g)
 
 半夏 (3.6 g)
 
 大棗 (2.9 g)
 
 以上生藥製成浸膏4.1g(生藥與浸膏比例24.3：4.1＝5.9：1) ( )
 
 澱粉 (1.9 g)"
衛署藥製字第012932號,東陽,十六味流氣飲濃縮散(東陽),濃縮散劑,5.8,人參:2.2|黃耆:1.3|川芎:1.6|當歸:2.2|白芍:2.2|防風:1.3|木香:1.3|肉桂:0.5|桔梗:1.3|白芷:1.3|檳榔:1.3|厚朴:1.3|烏藥:1.3|甘草:1.3|紫蘇葉:1.3|枳殼:1.3,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 人參 (2.2 g)
 
 黃耆 (1.3 g)
 
 川芎 (1.6 g)
 
 當歸 (2.2 g)
 
 白芍 (2.2 g)
 
 防風 (1.3 g)
 
 木香 (1.3 g)
 
 肉桂 (0.5 g)
 
 桔梗 (1.3 g)
 
 白芷 (1.3 g)
 
 檳榔 (1.3 g)
 
 厚朴 (1.3 g)
 
 烏藥 (1.3 g)
 
 甘草 (1.3 g)
 
 紫蘇葉 (1.3 g)
 
 枳殼 (1.3 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23：4＝5.8：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012933號,東陽,滋腎通耳丸濃縮散(東陽),濃縮散劑,5.9,生地黃:3|當歸:3|白芍:3|川芎:3|知母:2.1|黃柏:2.1|黃芩:2.1|香附:2.1|白芷:2.1|柴胡:2.1,,澱粉:1.8,✅ 解析成功,無需校正。,"處方:每６公克中含有：
 
 生地黃 (3.0 g)
 
 當歸 (3.0 g)
 
 白芍 (3.0 g)
 
 川芎 (3.0 g)
 
 知母 (2.1 g)
 
 黃柏 (2.1 g)
 
 黃芩 (2.1 g)
 
 香附 (2.1 g)
 
 白芷 (2.1 g)
 
 柴胡 (2.1 g)
 
 以上生藥製成浸膏4.2g(生藥與浸膏比例24.6:4.2=5.9:1) ( )
 
 澱粉 (1.8 g)"
衛署藥製字第012935號,東陽,甘薑苓朮湯濃縮散(東陽),濃縮散劑,5.8,甘草:3|白朮:3|乾薑:6|茯苓:6,,澱粉:1.4,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 甘草 (3.0 g)
 
 白朮 (3.0 g)
 
 乾薑 (6.0 g)
 
 茯苓 (6.0 g)
 
 以上生藥製成浸膏3.1g(生藥與浸膏比例18：3.1＝5.8：1) ( )
 
 澱粉 (1.4 g)"
衛署藥製字第012936號,東陽,洗肝明目散濃縮散(東陽),濃縮散劑,5.9,當歸:2.6|川芎:2.6|防風:2.6|山梔子:2.6|龍膽草:2.6|柴胡:2.6|木賊:2.6|羌活:2.6|密蒙花:2.6,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 當歸 (2.6 g)
 
 川芎 (2.6 g)
 
 防風 (2.6 g)
 
 山梔子 (2.6 g)
 
 龍膽草 (2.6 g)
 
 柴胡 (2.6 g)
 
 木賊 (2.6 g)
 
 羌活 (2.6 g)
 
 密蒙花 (2.6 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例23.4：4＝5.9：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012937號,東陽,梔子清肝湯濃縮散(東陽),濃縮散劑,5.7,梔子:2.4|川芎:2.4|當歸:2.4|柴胡:2.4|白芍:2.4|牡丹皮:2.4|石膏:2.4|牛蒡子:2.4|黃芩:1.2|黃連:1.2|甘草:1.2,,澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 梔子 (2.4 g)
 
 川芎 (2.4 g)
 
 當歸 (2.4 g)
 
 柴胡 (2.4 g)
 
 白芍 (2.4 g)
 
 牡丹皮 (2.4 g)
 
 石膏 (2.4 g)
 
 牛蒡子 (2.4 g)
 
 黃芩 (1.2 g)
 
 黃連 (1.2 g)
 
 甘草 (1.2 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例22.8：4＝5.7：1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012938號,東陽,越婢加朮湯濃縮散(東陽),濃縮散劑,5.9,麻黃:5.4|石膏:7.2|生薑:2.7|甘草:1.8|大棗:2.7|白朮:3.6,,澱粉:2,✅ 解析成功,無需校正。,"處方:每６公克中含有：
 
 麻黃 (5.4 g)
 
 石膏 (7.2 g)
 
 生薑 (2.7 g)
 
 甘草 (1.8 g)
 
 大棗 (2.7 g)
 
 白朮 (3.6 g)
 
 以上生藥製成浸膏4.0g(生藥與浸膏比例23.4:4=5.9:1) ( )
 
 澱粉 (2.0 g)"
衛署藥製字第012939號,東陽,完帶湯濃縮散(東陽),濃縮散劑,8.9,白朮:10|山藥:10|人參:2|白芍:5|車前子:3|蒼朮:3|甘草:1|陳皮:0.5|荊芥炭:0.5|柴胡:0.6,,澱粉:8,✅ 解析成功,無需校正。,"處方:每12公克中含有：
 
 白朮 (10.0 g)
 
 山藥 (10.0 g)
 
 人參 (2.0 g)
 
 白芍 (5.0 g)
 
 車前子 (3.0 g)
 
 蒼朮 (3.0 g)
 
 甘草 (1.0 g)
 
 陳皮 (0.5 g)
 
 荊芥炭 (0.5 g)
 
 柴胡 (0.6 g)
 
 以上生藥製成浸膏4.0g(生藥與浸膏比例 35.6:4=8.9:1) ( )
 
 澱粉 (8.0 g)"
衛署藥製字第012940號,東陽,大承氣湯濃縮散(東陽),濃縮散劑,3.7,大黃:8|厚朴:16|枳實:3|芒硝:6,,澱粉:12,✅ 解析成功,無需校正。,"處方:每21公克中含有：
 
 大黃 (8 g)
 
 厚朴 (16 g)
 
 枳實 (3 g)
 
 芒硝 (6 g)
 
 以上生藥製成浸膏9g(生藥與浸膏比例33:9=3.7:1) ( )
 
 澱粉 (12 g)"
衛署藥製字第012941號,東陽,清暑益氣湯濃縮散(東陽),濃縮散劑,8,黃耆:3|蒼朮:3|升麻:3|人參:1.5|澤瀉:1.5|神麴:1.5|陳皮:1.5|白朮:1.5|麥門冬:1|當歸:1|炙甘草:1|青皮:1|黃柏:1|葛根:1|五味子:0.5|生薑:3|大棗:2,,澱粉:8.5,✅ 解析成功,無需校正。,"處方:每12公克中含有：
 
 黃耆 (3.0 g)
 
 蒼朮 (3.0 g)
 
 升麻 (3.0 g)
 
 人參 (1.5 g)
 
 澤瀉 (1.5 g)
 
 神麴 (1.5 g)
 
 陳皮 (1.5 g)
 
 白朮 (1.5 g)
 
 麥門冬 (1.0 g)
 
 當歸 (1.0 g)
 
 炙甘草 (1.0 g)
 
 青皮 (1.0 g)
 
 黃柏 (1.0 g)
 
 葛根 (1.0 g)
 
 五味子 (0.5 g)
 
 生薑 (3.0 g)
 
 大棗 (2.0 g)
 
 以上生藥製成浸膏 3.5g(生藥與浸膏比例 28:3.5=8:1) ( )
 
 澱粉 (8.5 g)"
衛署藥製字第013058號,東陽,桃仁承氣湯濃縮散(東陽),濃縮散劑,5.8,桃仁:7.5|大黃:6|桂枝:4.5|甘草:3,芒硝:0.5,澱粉:1.9,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每6公克中含有：
 
 桃仁 (7.5 g)
 
 大黃 (6.0 g)
 
 桂枝 (4.5 g)
 
 甘草 (3.0 g)
 
 以上生藥製成浸膏3.6g(生藥與浸膏比例21：3.6＝5.8：1) ( )
 
 芒硝 (0.5 g)
 
 澱粉 (1.9 g)"
衛署藥製字第013059號,順天堂,葛根濃縮散(順天堂),濃縮散劑,5,葛根:3.25,,澱粉:0.35,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 葛根 (3.25 g)
 
 以上生藥製成浸膏0.65g(生藥與浸膏比例3.25:0.65=5:1) ( )
 
 澱粉 (0.35 g)"
衛署藥製字第013060號,順天堂,枳殼濃縮散(順天堂),濃縮散劑,3.79,枳殼:2.5,,澱粉:0.34,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 枳殼 (2.5 g)
 
 以上生藥製成浸膏0.66g(生藥與浸膏比例2.5:0.66=3.79:1) ( )
 
 澱粉 (0.34 g)"
衛署藥製字第013062號,勝昌,桂枝加龍骨牡蠣湯濃縮散(勝昌),濃縮散劑,7.67,桂枝:4|白芍:4|大棗:4|生薑:4|甘草:2|龍骨:2|牡蠣:3,,澱粉:1.5,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 桂枝 (4.0 g)
 
 白芍 (4.0 g)
 
 大棗 (4.0 g)
 
 生薑 (4.0 g)
 
 甘草 (2.0 g)
 
 龍骨 (2.0 g)
 
 牡蠣 (3.0 g)
 
 以上生藥製成浸膏3g(生藥與浸膏比例23：3＝7.67：1) ( )
 
 澱粉 (1.5 g)"
衛署藥製字第013063號,明通,苦參丸濃縮散(明通),濃縮散劑,5.8,苦參:4|玄參:2|黃連:2|大黃:2|獨活:2|枳殼:2|防風:2|黃芩:1|梔子:1|菊花:1,,澱粉:1.2,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 苦參 (4.0 g)
 
 玄參 (2.0 g)
 
 黃連 (2.0 g)
 
 大黃 (2.0 g)
 
 獨活 (2.0 g)
 
 枳殼 (2.0 g)
 
 防風 (2.0 g)
 
 黃芩 (1.0 g)
 
 梔子 (1.0 g)
 
 菊花 (1.0 g)
 
 以上生藥製成浸膏3.3g(生藥與浸膏比例19：3.3＝5.8：1) ( )
 
 澱粉 (1.2 g)"
衛署藥製字第013065號,明通,安中散濃縮顆粒(明通),濃縮顆粒劑,5.5,桂枝:4|延胡索:3|牡蠣:3|茴香:2|砂仁:1.5|甘草:1|良薑:1,,澱粉:1.7,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 桂枝 (4.0 g)
 
 延胡索 (3.0 g)
 
 牡蠣 (3.0 g)
 
 茴香 (2.0 g)
 
 砂仁 (1.5 g)
 
 甘草 (1.0 g)
 
 良薑 (1.0 g)
 
 以上生藥製成浸膏2.8g(生藥與浸膏比例15.5:2.8=5.5:1) ( )
 
 澱粉 (1.7 g)"
衛署藥製字第013068號,明通,安中散濃縮錠(明通),濃縮錠劑,5.2,桂枝:0.266|延胡索:0.2|牡蠣:0.2|茴香:0.133|縮砂仁:0.1|甘草:0.066|高良薑:0.066,,澱粉:0.09|硬脂酸鎂:0.01,✅ 解析成功,無需校正。,"處方:每錠(300mg)中含有：
 
 桂枝 (266 mg)
 
 延胡索 (200 mg)
 
 牡蠣 (200 mg)
 
 茴香 (133 mg)
 
 縮砂仁 (100 mg)
 
 甘草 (66 mg)
 
 高良薑 (66 mg)
 
 以上生藥製成浸膏200mg(生藥與浸膏比例1031：200＝5.2：1) ( )
 
 澱粉 (90 mg)
 
 硬脂酸鎂 (10 mg)"
衛署藥製字第013069號,明通,百合固金湯濃縮顆粒(明通),濃縮顆粒劑,3.3,生地黃:4|熟地黃:6|麥門冬:3|百合:2|白芍:2|川貝母:2|當歸:2|甘草:2|玄參:1.6|桔梗:1.6,,澱粉:13,✅ 解析成功,無需校正。,"處方:每21公克中含有： 
 
 生地黃 (4.0 g)
 
 熟地黃 (6.0 g)
 
 麥門冬 (3.0 g)
 
 百合 (2.0 g)
 
 白芍 (2.0 g)
 
 川貝母 (2.0 g)
 
 當歸 (2.0 g)
 
 甘草 (2.0 g)
 
 玄參 (1.6 g)
 
 桔梗 (1.6 g)
 
 以上生藥製成浸膏8g(生藥與浸膏比例:26.2:8=3.3:1) ( )
 
 澱粉 (13.0 g)"
